id,nombre,tipo,precio,activo,created_at,updated_at
18,FORRO DE COLCHON,LAVADO,1200.00,f,2026-05-09 02:02:40,2026-08-10 14:58:17
20,GORRA,LAVADO,900.00,f,2026-05-09 02:03:20,2026-08-10 14:58:17
28,LEGGIS,LAVADO,600.00,f,2026-05-09 02:06:16,2026-08-10 14:58:17
32,MALETA,LAVADO,900.00,f,2026-05-09 02:07:21,2026-08-10 14:58:17
24,MANTEL,LAVADO,900.00,f,2026-05-09 02:05:01,2026-08-10 14:58:17
103,MEDIAS PAR,LAVADO,0.00,f,2026-08-10 14:57:28,2026-08-10 14:57:28
23,MUEBLE,LAVADO,7000.00,f,2026-05-09 02:04:33,2026-08-10 14:58:17
48,Pantalon,Normal,15000.00,f,2026-05-21 01:44:13,2026-08-10 14:58:17
12,PANTALONETAS,LAVADO,600.00,f,2026-05-09 01:59:49,2026-08-10 14:58:17
22,PELUCHE GR,LAVADO,7000.00,f,2026-05-09 02:03:49,2026-08-10 14:58:17
15,PELUCHE PQ,LAVADO,1200.00,f,2026-05-09 02:01:35,2026-08-10 14:58:17
29,PIJAMA,LAVADO,1000.00,f,2026-05-09 02:06:29,2026-08-10 14:58:17
9,RUANA,LAVADO,900.00,f,2026-05-09 01:58:46,2026-08-10 14:58:17
11,SABANAS,LAVADO,1200.00,f,2026-05-09 01:59:29,2026-08-10 14:58:17
5,SACO,LAVADO,900.00,f,2026-05-09 01:57:50,2026-08-10 14:58:17
16,SOFA,LAVADO,10000.00,f,2026-05-09 02:01:55,2026-08-10 14:58:17
6,TAPETE,LAVADO,5000.00,f,2026-05-09 01:58:01,2026-08-10 14:58:17
33,TOALLA,LAVADO,900.00,f,2026-05-09 02:07:37,2026-08-10 14:58:17
8,VESTIDO DAMA/CABALLERO,LAVADO,2400.00,f,2026-05-09 01:58:29,2026-08-10 14:58:17
46,VESTIDO QUINCE,LAVADO,3500.00,f,2026-05-16 02:08:27,2026-08-10 14:58:17
17,ZAPATOS,LAVADO,1200.00,f,2026-05-09 02:02:23,2026-08-10 14:58:17
